fips,stusps,year,RTC,violent_rate
5,AR,2008,1995,513.0296070888575
5,AR,2009,1995,515.8419887060504
5,AR,2010,1995,503.52743671860344
5,AR,2011,1995,482.3074214749724
5,AR,2012,1995,469.55273094151573
5,AR,2013,1995,463.199940691407
5,AR,2014,1995,480.2424756133389
6,CA,1977,Inf,705.982758987742
6,CA,1978,Inf,742.9173021289712
6,CA,1979,Inf,811.0989098358922
6,CA,1980,Inf,893.6083410663821
6,CA,1981,Inf,862.9702934739436
6,CA,1982,Inf,814.7103887177058
6,CA,1983,Inf,772.5869125901454
6,CA,1984,Inf,763.3635659523366
6,CA,1985,Inf,765.2682026903826
6,CA,1986,Inf,920.5367224670529
6,CA,1987,Inf,917.9877862982198
6,CA,1988,Inf,929.8208488218933
6,CA,1989,Inf,977.6552554055279
6,CA,1990,Inf,1045.1973941632539
6,CA,1991,Inf,1089.934239334131
6,CA,1992,Inf,1119.7200404020514
6,CA,1993,Inf,1077.7642991305645
6,CA,1994,Inf,1012.9965769814386
6,CA,1995,Inf,966.0136892887796
6,CA,1996,Inf,862.6514427586973
6,CA,1997,Inf,798.2582564124755
6,CA,1998,Inf,703.7164488754169
6,CA,1999,Inf,627.1782396042385
6,CA,2000,Inf,621.5552162441899
6,CA,2001,Inf,615.2144118916011
6,CA,2002,Inf,595.3603377906317
6,CA,2003,Inf,579.6256197615585
6,CA,2004,Inf,527.8019420959196
6,CA,2005,Inf,526.0198226663416
6,CA,2006,Inf,533.4506121809711
6,CA,2007,Inf,524.0605180452034
6,CA,2008,Inf,504.2052162465905
6,CA,2009,Inf,473.2848999553814
6,CA,2010,Inf,439.58460948214815
6,CA,2011,Inf,411.16469604058943
6,CA,2012,Inf,423.5381484499503
6,CA,2013,Inf,402.6370077678398
6,CA,2014,Inf,396.3752314126701
8,CO,1977,2003,511.9128579901154
8,CO,1978,2003,497.97759029231213
8,CO,1979,2003,522.0778901168322
8,CO,1980,2003,528.5910309576291
8,CO,1981,2003,531.7247179185482
8,CO,1982,2003,504.23647230706445
8,CO,1983,2003,476.4256802690694
8,CO,1984,2003,457.7722824159631
8,CO,1985,2003,471.0305539001318
8,CO,1986,2003,523.5689621956958
8,CO,1987,2003,467.5060548098833
8,CO,1988,2003,472.58355585670046
8,CO,1989,2003,471.3898340398908
8,CO,1990,2003,525.984457417796
8,CO,1991,2003,559.2834112543145
8,CO,1992,2003,578.8472841540242
8,CO,1993,2003,567.2741654705064
8,CO,1994,2003,509.6280785496526
8,CO,1995,2003,440.1920601653649
8,CO,1996,2003,404.47297938677053
8,CO,1997,2003,363.19033105976996
8,CO,1998,2003,377.9401217465891
8,CO,1999,2003,340.49679473131573
8,CO,2000,2003,334.01832287270304
8,CO,2001,2003,349.6284880722425
8,CO,2002,2003,352.8508600938347
8,CO,2003,2003,346.48791425877425
8,CO,2004,2003,372.0484138752944
8,CO,2005,2003,396.6722717724632
8,CO,2006,2003,395.3821147445376
8,CO,2007,2003,351.7627704233766
8,CO,2008,2003,353.8851061246346
8,CO,2009,2003,338.76330466493346
8,CO,2010,2003,323.69257286115374
8,CO,2011,2003,314.3872827132332
8,CO,2012,2003,307.37319545688194
8,CO,2013,2003,305.36303589378565
8,CO,2014,2003,307.8466779128851
10,DE,1977,Inf,382.13049393819676
10,DE,1978,Inf,440.65177099494394
10,DE,1979,Inf,537.285206423856
10,DE,1980,Inf,474.798240723242
10,DE,1981,Inf,509.03013995342417
10,DE,1982,Inf,559.800756694004
10,DE,1983,Inf,453.135369762124
10,DE,1984,Inf,435.72595082988556
10,DE,1985,Inf,433.2796992922889
10,DE,1986,Inf,427.0143125783341
10,DE,1987,Inf,430.74529334620536
10,DE,1988,Inf,451.6667381748177
10,DE,1989,Inf,556.4636600449088
10,DE,1990,Inf,655.2399890505782
10,DE,1991,Inf,714.2648104411489
10,DE,1992,Inf,621.1901825491403
10,DE,1993,Inf,685.8570419440271
10,DE,1994,Inf,644.3344024064323
10,DE,1995,Inf,724.9650642785971
10,DE,1996,Inf,668.2759169240186
10,DE,1997,Inf,785.9288781259235
10,DE,1998,Inf,762.365766326511
10,DE,1999,Inf,734.4021161233032
10,DE,2000,Inf,684.405205560869
10,DE,2001,Inf,611.0977787657971
10,DE,2002,Inf,600.0409654403521
10,DE,2003,Inf,675.2907875455631
10,DE,2004,Inf,615.0090961949646
10,DE,2005,Inf,633.4490082375471
10,DE,2006,Inf,701.0157037407453
10,DE,2007,Inf,705.3948958713701
10,DE,2008,Inf,708.6310015261148
10,DE,2009,Inf,645.447888819495
10,DE,2010,Inf,623.2552050051835
10,DE,2011,Inf,566.4343523047384
10,DE,2012,Inf,550.4589538569827
10,DE,2013,Inf,500.73491580704837
10,DE,2014,Inf,488.05088546928556
12,FL,1977,1987,686.8434555629129
12,FL,1978,1987,765.5572646553065
12,FL,1979,1987,833.8712276346681
12,FL,1980,1987,983.5257296790832
12,FL,1981,1987,965.0698566638727
12,FL,1982,1987,896.80301278111
12,FL,1983,1987,826.7040771191942
12,FL,1984,1987,867.9844845594581
12,FL,1985,1987,941.1492062483752
12,FL,1986,1987,1036.5138536417408
12,FL,1987,1987,1024.436636006015
12,FL,1988,1987,1117.7425319534323
12,FL,1989,1987,1109.422899977341
12,FL,1990,1987,1244.3261895257272
12,FL,1991,1987,1184.3265375196254
12,FL,1992,1987,1207.1987739587223
12,FL,1993,1987,1206.0457479372715
12,FL,1994,1987,1146.8212457442346
12,FL,1995,1987,1070.95132769141
12,FL,1996,1987,1051.0418341512095
12,FL,1997,1987,1023.5840883656431
12,FL,1998,1987,938.6967109064498
12,FL,1999,1987,853.9602144495292
12,FL,2000,1987,812.0005663182119
12,FL,2001,1987,798.3286777702579
12,FL,2002,1987,771.1676744970672
12,FL,2003,1987,731.0939883506276
12,FL,2004,1987,711.8259459661093
